徐飞	5	3286
郭华	5	7639
吴江	5	1481
黄文彬	5	8755
杨立英	5	4497
李梦辉	5	4000
张婧	5	2652
宋艳辉	5	2236
郑彦宁	5	7529
陈雪飞	5	8197
储节旺	5	602
沈振萍	5	5010
王鑫	5	5811
陈媛媛	5	7980
陈瑜林	5	8116
许振亮	5	6893
刘喜美	5	789
邰杨芳	5	7420
王泓午	5	5623
牟冬梅	5	5202
琚沅红	5	5856
郑晓月	5	7550
刘浩	5	980
杨聪	5	4506
张萌	4	3026
蒋飞	4	6705
王鹏	4	5851
刘则渊	4	767
李睿	4	4087
王兴旺	4	5294
张春博	4	2801
温芳芳	4	5064
张健	4	2581
高岚	4	8552
张营	4	3028
杨秀财	4	4492
张波	4	2870
杨洋	4	4459
许鑫	4	6928
胡琳	4	6433
李娜	4	3800
张瑞	4	2929
郝若扬	4	7609
王伟明	4	5262
李锋	4	4202
钱爱兵	4	7821
陈刚	4	7939
周京艳	4	1574
李佳娱	4	3707
韩涛	4	8333
田瑞强	4	5905
张宇	4	2673
张金柱	4	3055
谢瑞霞	4	6986
王睿	4	5703
王楠	4	5606
高冲	4	8539
陈必坤	4	8015
龚凯乐	4	8880
谢娟	4	6953
成颖	4	3304
伍玉	4	392
况书梅	4	689
张楠	4	2853
李雪	4	4214
李文玉	4	3911
张娟	4	2651
朱礼龙	4	3634
温学兵	4	5060
戴莹	4	3334
方红玲	4	3389
仇贵生	4	299
王璐	4	5697
钟竹青	4	7803
徐芳	4	3255
王丽	4	5228
穆亚凤	4	6115
祁占勇	4	6017
李洁	4	4027
张杰	4	2842
崔鹤	4	2380
崔雷	4	2378
曹霞	4	3495
陈琼	4	8115
陈晓端	4	8061
王大鹏	4	5357
高玲玲	4	8595
张宝生	4	2681
李东	4	3667
李维	4	4124
杨华	4	4340
程结晶	4	6102
张光宇	4	2583
袁娇	4	6795
王晶莹	4	5580
王艳	4	5750
程景民	4	6089
于洋	4	273
李志男	4	3875
孟潇	4	2122
刘翠翠	4	1068
李玉	4	4059
周春雷	4	1630
翟琰琦	4	6253
柯青	4	4633
刘自强	4	1076
谭春辉	4	7012
余波	4	501
李江	4	4022
陈娟	4	7976
邓胜利	4	7392
史健勇	4	1256
刘志辉	4	876
都平平	4	7741
刘烜贞	4	997
杨国立	4	4353
孙琳	4	2035
史敏	4	1261
张立彬	4	2959
董颖	4	6665
赵旭	4	7209
李沂濛	4	4023
王建品	4	5439
冯佳	4	641
张云秋	4	2543
蒋勋	4	6679
赵筱媛	4	7269
丁洁兰	4	156
真溱	4	5980
汤珊红	4	4940
许丹	4	6873
金学慧	4	7757
巴志超	4	2400
毛进	4	4888
赵小康	4	7176
王萍	4	5778
刘春年	4	917
